[29/Mar/2020:04:54:40	 1 Recursos Solicitados 
[29/Mar/2020:04:55:16	 1 Recursos Solicitados 
[29/Mar/2020:04:55:43	 1 Recursos Solicitados 
[29/Mar/2020:04:57:03	 1 Recursos Solicitados 
[29/Mar/2020:05:00:09	 1 Recursos Solicitados 
[29/Mar/2020:05:00:38	 1 Recursos Solicitados 
[29/Mar/2020:05:02:57	 1 Recursos Solicitados 
[29/Mar/2020:05:04:39	 1 Recursos Solicitados 
[29/Mar/2020:05:04:40	 1 Recursos Solicitados 
[29/Mar/2020:05:05:34	 1 Recursos Solicitados 
[29/Mar/2020:05:05:35	 1 Recursos Solicitados 
[29/Mar/2020:05:06:47	 1 Recursos Solicitados 
[29/Mar/2020:05:08:45	 1 Recursos Solicitados 
[29/Mar/2020:05:08:47	 1 Recursos Solicitados 
[29/Mar/2020:05:09:14	 1 Recursos Solicitados 
[29/Mar/2020:05:10:00	 1 Recursos Solicitados 
[29/Mar/2020:05:10:08	 1 Recursos Solicitados 
[29/Mar/2020:05:10:10	 1 Recursos Solicitados 
[29/Mar/2020:05:10:51	 1 Recursos Solicitados 
[29/Mar/2020:05:20:05	 1 Recursos Solicitados 
[29/Mar/2020:05:20:06	 1 Recursos Solicitados 
[29/Mar/2020:05:21:01	 1 Recursos Solicitados 
[29/Mar/2020:05:22:54	 1 Recursos Solicitados 
[29/Mar/2020:05:26:08	 1 Recursos Solicitados 
[29/Mar/2020:05:28:04	 1 Recursos Solicitados 
[29/Mar/2020:05:28:07	 1 Recursos Solicitados 
[29/Mar/2020:05:28:08	 1 Recursos Solicitados 
[29/Mar/2020:05:28:09	 1 Recursos Solicitados 
[29/Mar/2020:05:33:57	 1 Recursos Solicitados 
[29/Mar/2020:05:39:20	 1 Recursos Solicitados 
[29/Mar/2020:05:42:33	 1 Recursos Solicitados 
[29/Mar/2020:05:43:50	 1 Recursos Solicitados 
[29/Mar/2020:05:48:40	 1 Recursos Solicitados 
[29/Mar/2020:05:48:41	 1 Recursos Solicitados 
[29/Mar/2020:05:50:29	 1 Recursos Solicitados 
[29/Mar/2020:05:50:30	 1 Recursos Solicitados 
[29/Mar/2020:05:53:21	 1 Recursos Solicitados 
[29/Mar/2020:05:57:33	 1 Recursos Solicitados 
[29/Mar/2020:05:58:24	 1 Recursos Solicitados 
[29/Mar/2020:06:00:41	 1 Recursos Solicitados 
[29/Mar/2020:06:03:27	 1 Recursos Solicitados 
[29/Mar/2020:06:03:44	 1 Recursos Solicitados 
[29/Mar/2020:06:07:07	 1 Recursos Solicitados 
[29/Mar/2020:06:08:38	 1 Recursos Solicitados 
[29/Mar/2020:06:09:27	 1 Recursos Solicitados 
[29/Mar/2020:06:10:49	 1 Recursos Solicitados 
[29/Mar/2020:06:14:14	 1 Recursos Solicitados 
[29/Mar/2020:06:20:40	 1 Recursos Solicitados 
[29/Mar/2020:06:20:49	 1 Recursos Solicitados 
[29/Mar/2020:06:30:28	 1 Recursos Solicitados 
[29/Mar/2020:06:30:37	 1 Recursos Solicitados 
[29/Mar/2020:06:42:00	 1 Recursos Solicitados 
[29/Mar/2020:06:42:20	 1 Recursos Solicitados 
[29/Mar/2020:06:43:16	 1 Recursos Solicitados 
[29/Mar/2020:06:44:51	 1 Recursos Solicitados 
[29/Mar/2020:06:50:35	 1 Recursos Solicitados 
[29/Mar/2020:06:50:37	 1 Recursos Solicitados 
[29/Mar/2020:06:59:09	 1 Recursos Solicitados 
[29/Mar/2020:07:00:36	 1 Recursos Solicitados 
[29/Mar/2020:07:00:41	 1 Recursos Solicitados 
[29/Mar/2020:07:08:33	 1 Recursos Solicitados 
[29/Mar/2020:07:10:39	 1 Recursos Solicitados 
[29/Mar/2020:07:10:40	 1 Recursos Solicitados 
[29/Mar/2020:07:12:25	 1 Recursos Solicitados 
[29/Mar/2020:07:12:41	 1 Recursos Solicitados 
[29/Mar/2020:07:14:52	 1 Recursos Solicitados 
[29/Mar/2020:07:16:24	 1 Recursos Solicitados 
[29/Mar/2020:07:16:25	 1 Recursos Solicitados 
[29/Mar/2020:07:16:26	 1 Recursos Solicitados 
[29/Mar/2020:07:20:47	 1 Recursos Solicitados 
[29/Mar/2020:07:20:48	 1 Recursos Solicitados 
[29/Mar/2020:07:30:36	 1 Recursos Solicitados 
[29/Mar/2020:07:35:00	 1 Recursos Solicitados 
[29/Mar/2020:07:41:59	 1 Recursos Solicitados 
[29/Mar/2020:07:43:53	 1 Recursos Solicitados 
[29/Mar/2020:07:50:09	 1 Recursos Solicitados 
[29/Mar/2020:07:50:49	 1 Recursos Solicitados 
[29/Mar/2020:07:50:50	 1 Recursos Solicitados 
[29/Mar/2020:07:51:50	 1 Recursos Solicitados 
[29/Mar/2020:07:52:46	 1 Recursos Solicitados 
[29/Mar/2020:07:52:53	 1 Recursos Solicitados 
[29/Mar/2020:07:54:59	 1 Recursos Solicitados 
[29/Mar/2020:07:55:46	 1 Recursos Solicitados 
[29/Mar/2020:08:00:57	 1 Recursos Solicitados 
[29/Mar/2020:08:03:30	 1 Recursos Solicitados 
[29/Mar/2020:08:04:24	 1 Recursos Solicitados 
[29/Mar/2020:08:04:27	 1 Recursos Solicitados 
[29/Mar/2020:08:10:34	 1 Recursos Solicitados 
[29/Mar/2020:08:13:27	 1 Recursos Solicitados 
[29/Mar/2020:08:20:36	 1 Recursos Solicitados 
[29/Mar/2020:08:21:06	 1 Recursos Solicitados 
[29/Mar/2020:08:21:07	 1 Recursos Solicitados 
[29/Mar/2020:08:21:18	 1 Recursos Solicitados 
[29/Mar/2020:08:30:36	 1 Recursos Solicitados 
[29/Mar/2020:08:32:44	 1 Recursos Solicitados 
[29/Mar/2020:08:35:54	 1 Recursos Solicitados 
[29/Mar/2020:08:36:19	 1 Recursos Solicitados 
[29/Mar/2020:08:39:27	 1 Recursos Solicitados 
[29/Mar/2020:08:40:02	 1 Recursos Solicitados 
[29/Mar/2020:08:40:46	 1 Recursos Solicitados 
[29/Mar/2020:08:42:06	 1 Recursos Solicitados 
[29/Mar/2020:08:43:36	 1 Recursos Solicitados 
[29/Mar/2020:08:43:39	 1 Recursos Solicitados 
[29/Mar/2020:08:44:55	 1 Recursos Solicitados 
[29/Mar/2020:08:48:14	 1 Recursos Solicitados 
[29/Mar/2020:08:50:57	 1 Recursos Solicitados 
[29/Mar/2020:08:50:59	 1 Recursos Solicitados 
[29/Mar/2020:08:52:00	 1 Recursos Solicitados 
[29/Mar/2020:08:52:13	 1 Recursos Solicitados 
[29/Mar/2020:09:03:19	 1 Recursos Solicitados 
[29/Mar/2020:09:05:23	 1 Recursos Solicitados 
[29/Mar/2020:09:05:30	 1 Recursos Solicitados 
[29/Mar/2020:09:13:04	 1 Recursos Solicitados 
[29/Mar/2020:09:13:14	 1 Recursos Solicitados 
[29/Mar/2020:09:14:48	 1 Recursos Solicitados 
[29/Mar/2020:09:15:18	 1 Recursos Solicitados 
[29/Mar/2020:09:15:19	 1 Recursos Solicitados 
[29/Mar/2020:09:15:26	 1 Recursos Solicitados 
[29/Mar/2020:09:21:21	 1 Recursos Solicitados 
[29/Mar/2020:09:21:22	 1 Recursos Solicitados 
[29/Mar/2020:09:23:39	 1 Recursos Solicitados 
[29/Mar/2020:09:23:40	 1 Recursos Solicitados 
[29/Mar/2020:09:24:17	 1 Recursos Solicitados 
[29/Mar/2020:09:25:26	 1 Recursos Solicitados 
[29/Mar/2020:09:25:35	 1 Recursos Solicitados 
[29/Mar/2020:09:25:36	 1 Recursos Solicitados 
[29/Mar/2020:09:28:13	 1 Recursos Solicitados 
[29/Mar/2020:09:31:21	 1 Recursos Solicitados 
[29/Mar/2020:09:32:54	 1 Recursos Solicitados 
[29/Mar/2020:09:33:24	 1 Recursos Solicitados 
[29/Mar/2020:09:39:28	 1 Recursos Solicitados 
[29/Mar/2020:09:41:30	 1 Recursos Solicitados 
[29/Mar/2020:09:45:21	 1 Recursos Solicitados 
[29/Mar/2020:09:51:39	 1 Recursos Solicitados 
[29/Mar/2020:09:53:34	 1 Recursos Solicitados 
[29/Mar/2020:09:53:42	 1 Recursos Solicitados 
[29/Mar/2020:09:57:08	 1 Recursos Solicitados 
[29/Mar/2020:09:57:11	 1 Recursos Solicitados 
[29/Mar/2020:09:57:14	 1 Recursos Solicitados 
[29/Mar/2020:09:57:15	 1 Recursos Solicitados 
[29/Mar/2020:09:57:20	 1 Recursos Solicitados 
[29/Mar/2020:09:57:23	 1 Recursos Solicitados 
[29/Mar/2020:09:57:25	 1 Recursos Solicitados 
[29/Mar/2020:09:57:27	 1 Recursos Solicitados 
[29/Mar/2020:09:57:37	 1 Recursos Solicitados 
[29/Mar/2020:10:00:47	 1 Recursos Solicitados 
[29/Mar/2020:10:01:25	 1 Recursos Solicitados 
[29/Mar/2020:10:01:49	 1 Recursos Solicitados 
[29/Mar/2020:10:04:04	 1 Recursos Solicitados 
[29/Mar/2020:10:04:12	 1 Recursos Solicitados 
[29/Mar/2020:10:04:44	 1 Recursos Solicitados 
[29/Mar/2020:10:05:05	 1 Recursos Solicitados 
[29/Mar/2020:10:07:31	 1 Recursos Solicitados 
[29/Mar/2020:10:08:22	 1 Recursos Solicitados 
[29/Mar/2020:10:11:37	 1 Recursos Solicitados 
